,Time,Open,High,Close,Low,Volume
0, 09:30,545.61,546.825,545.18,545.18,168443
1, 09:31,547.9,548.0,544.28,544.0,31557
2, 09:32,544.58,546.71,546.7,543.5,33937
3, 09:33,547.346,550.0,549.4,546.053,13075
4, 09:34,549.495,552.25,551.665,549.03,18391
5, 09:35,551.52,554.55,553.57,551.46,14348
6, 09:36,553.05,554.5,553.42,552.01,13839
7, 09:37,553.39,553.8,553.11,552.22,12959
8, 09:38,553.19,555.5,554.71,552.663,17521
9, 09:39,554.6,556.7,556.59,554.6,14988
10, 09:40,556.29,556.29,552.301,552.18,10697
11, 09:41,552.22,552.4,550.71,550.71,13504
12, 09:42,551.26,555.19,554.69,550.71,14977
13, 09:43,554.61,557.27,557.27,554.505,10132
14, 09:44,556.559,556.57,556.31,554.98,6436
15, 09:45,555.6,555.7,553.65,552.6,10859
16, 09:46,552.87,553.38,551.32,551.32,13924
17, 09:47,551.32,551.32,550.13,549.51,16023
18, 09:48,550.37,550.52,549.26,549.26,10173
19, 09:49,549.25,550.03,547.8,547.695,13053
20, 09:50,547.96,549.18,547.18,547.17,11246
21, 09:51,547.386,548.89,548.16,547.386,8300
22, 09:52,548.58,549.75,548.75,548.255,10386
23, 09:53,548.705,550.155,550.03,548.57,10924
24, 09:54,549.69,550.01,550.01,549.19,9165
25, 09:55,550.14,551.605,551.605,549.645,10634
26, 09:56,551.64,552.37,551.95,551.21,7337
27, 09:57,551.754,551.855,549.615,549.615,8907
28, 09:58,549.877,550.84,550.745,549.36,13355
29, 09:59,550.583,551.7,550.72,550.575,7218
30, 10:00,550.917,550.917,550.38,549.465,14179
31, 10:01,550.22,550.22,548.165,547.95,14706
32, 10:02,547.46,549.125,548.61,547.0,13077
33, 10:03,548.72,549.12,547.55,546.775,13970
34, 10:04,547.72,548.05,546.88,546.333,10565
35, 10:05,547.08,547.665,547.34,546.78,7960
36, 10:06,547.16,547.86,546.52,546.52,11641
37, 10:07,546.55,546.94,546.17,545.28,15456
38, 10:08,546.17,546.29,545.41,545.02,12426
39, 10:09,545.485,545.76,545.46,544.87,17449
40, 10:10,545.2,546.64,546.04,545.2,16824
41, 10:11,546.23,546.58,546.36,545.8,10565
42, 10:12,546.295,546.965,546.46,546.05,8700
43, 10:13,546.455,547.25,546.255,546.255,12240
44, 10:14,546.45,547.14,546.69,546.08,8288
45, 10:15,546.78,547.12,547.09,546.56,6686
46, 10:16,546.898,547.94,547.85,546.76,7845
47, 10:17,547.95,548.42,548.39,547.43,10727
48, 10:18,548.25,549.445,549.445,548.23,10437
49, 10:19,548.91,549.85,549.23,548.15,15847
50, 10:20,549.72,550.41,548.26,547.92,16646
51, 10:21,549.39,549.39,548.92,548.57,7305
52, 10:22,548.85,549.235,548.61,548.26,9698
53, 10:23,548.54,550.01,549.625,548.54,6861
54, 10:24,549.45,549.45,549.08,548.865,3530
55, 10:25,548.86,549.32,549.04,548.7,5380
56, 10:26,548.7,549.45,549.45,548.5,6982
57, 10:27,549.896,549.896,549.39,549.2,3577
58, 10:28,549.165,549.35,548.45,548.45,7458
59, 10:29,548.56,548.56,547.425,547.34,8850
60, 10:30,547.03,547.03,546.1,546.01,7444
61, 10:31,546.33,546.71,546.66,546.0,10184
62, 10:32,546.77,547.34,546.8,546.73,6109
63, 10:33,546.64,547.89,547.89,546.455,8534
64, 10:34,547.435,548.06,547.04,547.04,5188
65, 10:35,547.05,548.12,548.12,546.9,5911
66, 10:36,548.32,549.28,549.28,548.04,3287
67, 10:37,548.68,549.1,549.025,548.39,4859
68, 10:38,549.55,550.78,550.462,549.15,15596
69, 10:39,550.48,550.48,549.92,549.616,3873
70, 10:40,549.8,550.352,550.2,549.27,8852
71, 10:41,550.12,550.36,549.51,549.41,5161
72, 10:42,549.63,549.78,549.78,549.05,4659
73, 10:43,549.92,550.54,549.794,549.692,4392
74, 10:44,550.65,550.78,550.395,550.03,5782
75, 10:45,550.56,550.605,549.69,549.69,12710
76, 10:46,549.7,549.74,549.34,548.87,7744
77, 10:47,549.465,549.72,549.295,548.93,8251
78, 10:48,549.3,549.55,549.1,549.07,3885
79, 10:49,548.81,549.09,548.965,548.686,4217
80, 10:50,549.015,549.015,548.02,548.02,5273
81, 10:51,547.855,548.725,548.45,547.63,4710
82, 10:52,548.63,548.63,548.28,548.22,2388
83, 10:53,548.34,548.59,547.75,547.62,6676
84, 10:54,547.62,548.07,548.065,547.15,6011
85, 10:55,548.215,548.745,548.47,547.945,8731
86, 10:56,548.4,548.7,548.7,548.069,5120
87, 10:57,548.625,548.84,548.03,547.915,8066
88, 10:58,548.16,548.34,547.6,547.5,10224
89, 10:59,547.41,548.69,548.525,547.41,6761
