,Time,Open,High,Close,Low,Volume
0, 09:30,115.92,116.38,116.21,115.36,310481
1, 09:31,116.2,116.25,115.88,115.75,79884
2, 09:32,115.84,115.99,115.736,115.46,57110
3, 09:33,115.71,116.13,116.09,115.58,35611
4, 09:34,116.06,116.16,116.07,115.84,29959
5, 09:35,116.02,116.32,116.27,115.91,26040
6, 09:36,116.24,116.26,116.23,116.081,12311
7, 09:37,116.24,116.37,116.32,116.16,32767
8, 09:38,116.32,116.46,116.385,116.26,24950
9, 09:39,116.38,116.5,116.4,116.33,28386
10, 09:40,116.42,116.42,115.935,115.86,33423
11, 09:41,115.92,116.118,115.99,115.85,36513
12, 09:42,116.0,116.35,116.35,116.0,14441
13, 09:43,116.26,116.5,116.5,116.1,21973
14, 09:44,116.505,116.62,116.48,116.38,50584
15, 09:45,116.44,116.45,116.24,116.24,22342
16, 09:46,116.23,116.26,116.105,116.08,21539
17, 09:47,116.1,116.22,116.21,115.95,29117
18, 09:48,116.19,116.21,115.96,115.94,18694
19, 09:49,115.99,116.05,115.82,115.82,14901
20, 09:50,115.84,115.96,115.88,115.83,22070
21, 09:51,115.87,115.96,115.73,115.7,31249
22, 09:52,115.72,115.8,115.735,115.63,45009
23, 09:53,115.77,115.89,115.81,115.73,14947
24, 09:54,115.78,115.87,115.865,115.738,20476
25, 09:55,115.83,115.984,115.96,115.71,18208
26, 09:56,115.94,116.0,115.94,115.9,22836
27, 09:57,115.95,116.08,115.86,115.8,21755
28, 09:58,115.86,115.993,115.905,115.86,11475
29, 09:59,115.905,115.94,115.89,115.815,18889
30, 10:00,115.88,115.99,115.99,115.76,18325
31, 10:01,115.95,115.98,115.78,115.77,18432
32, 10:02,115.77,115.77,115.69,115.61,20141
33, 10:03,115.67,115.67,115.5,115.47,33707
34, 10:04,115.48,115.53,115.476,115.45,17888
35, 10:05,115.51,115.55,115.54,115.41,14885
36, 10:06,115.52,115.55,115.44,115.41,67359
37, 10:07,115.46,115.51,115.39,115.35,33023
38, 10:08,115.37,115.37,115.21,115.2,25215
39, 10:09,115.21,115.24,115.22,115.2,12749
40, 10:10,115.22,115.24,115.18,115.14,26776
41, 10:11,115.21,115.285,115.238,115.195,13239
42, 10:12,115.22,115.25,115.15,115.14,14677
43, 10:13,115.15,115.255,115.19,115.14,38101
44, 10:14,115.19,115.3,115.249,115.18,15465
45, 10:15,115.27,115.37,115.37,115.23,34968
46, 10:16,115.37,115.48,115.47,115.32,26844
47, 10:17,115.44,115.625,115.58,115.425,19866
48, 10:18,115.57,115.63,115.56,115.56,12144
49, 10:19,115.55,115.59,115.54,115.48,16640
50, 10:20,115.49,115.54,115.48,115.345,21814
51, 10:21,115.47,115.51,115.48,115.45,9714
52, 10:22,115.485,115.51,115.385,115.29,28103
53, 10:23,115.44,115.485,115.36,115.33,17673
54, 10:24,115.39,115.41,115.395,115.31,11980
55, 10:25,115.41,115.49,115.49,115.36,12323
56, 10:26,115.45,115.45,115.42,115.35,15594
57, 10:27,115.41,115.45,115.36,115.31,20233
58, 10:28,115.33,115.37,115.28,115.25,22760
59, 10:29,115.26,115.27,115.2,115.15,18139
60, 10:30,115.19,115.19,115.13,115.1,19874
61, 10:31,115.145,115.15,115.145,115.02,20654
62, 10:32,115.125,115.18,115.12,115.12,11214
63, 10:33,115.12,115.29,115.21,115.11,11796
64, 10:34,115.2,115.27,115.25,115.18,12699
65, 10:35,115.25,115.36,115.32,115.22,13557
66, 10:36,115.35,115.46,115.44,115.34,8152
67, 10:37,115.43,115.49,115.485,115.43,16130
68, 10:38,115.5,115.66,115.47,115.46,26649
69, 10:39,115.49,115.58,115.5,115.47,9608
70, 10:40,115.46,115.54,115.51,115.45,22684
71, 10:41,115.48,115.48,115.36,115.345,10808
72, 10:42,115.36,115.39,115.38,115.3,11021
73, 10:43,115.389,115.46,115.41,115.36,12120
74, 10:44,115.39,115.44,115.41,115.35,17474
75, 10:45,115.45,115.45,115.27,115.27,11333
76, 10:46,115.3,115.32,115.25,115.24,9894
77, 10:47,115.24,115.3,115.3,115.23,7957
78, 10:48,115.295,115.385,115.32,115.28,11349
79, 10:49,115.3,115.36,115.31,115.3,6979
80, 10:50,115.3,115.37,115.32,115.3,5483
81, 10:51,115.3,115.37,115.31,115.3,6164
82, 10:52,115.31,115.32,115.275,115.265,10191
83, 10:53,115.26,115.266,115.17,115.17,9705
84, 10:54,115.175,115.25,115.245,115.17,8462
85, 10:55,115.24,115.31,115.3,115.24,19749
86, 10:56,115.3,115.3,115.26,115.23,7148
87, 10:57,115.26,115.26,115.12,115.1,11530
88, 10:58,115.115,115.12,115.095,115.07,18619
89, 10:59,115.09,115.18,115.14,115.08,13065
90, 11:00,115.1,115.19,115.15,115.1,6415
91, 11:01,115.12,115.13,115.052,115.02,12088
92, 11:02,115.04,115.05,114.93,114.89,118773
93, 11:03,114.91,114.99,114.95,114.88,28231
94, 11:04,114.95,114.95,114.88,114.87,18791
95, 11:05,114.87,114.875,114.85,114.78,25361
96, 11:06,114.84,114.89,114.85,114.815,10402
97, 11:07,114.845,114.845,114.76,114.73,12145
98, 11:08,114.74,114.78,114.77,114.72,11442
99, 11:09,114.77,114.9,114.87,114.77,11954
100, 11:10,114.86,114.86,114.745,114.74,13840
101, 11:11,114.74,114.76,114.76,114.69,15524
102, 11:12,114.74,114.88,114.78,114.74,15381
103, 11:13,114.77,114.77,114.65,114.65,30160
104, 11:14,114.67,114.7,114.68,114.64,23884
105, 11:15,114.66,114.675,114.59,114.57,38811
106, 11:16,114.58,114.635,114.635,114.56,20768
107, 11:17,114.65,114.66,114.558,114.54,11948
108, 11:18,114.575,114.63,114.63,114.57,6407
109, 11:19,114.64,114.7,114.68,114.6,31040
110, 11:20,114.68,114.69,114.63,114.63,14624
111, 11:21,114.63,114.65,114.548,114.548,11698
112, 11:22,114.55,114.725,114.725,114.55,14356
113, 11:23,114.725,114.74,114.68,114.68,7238
114, 11:24,114.685,114.7,114.68,114.67,11382
115, 11:25,114.69,114.69,114.6,114.56,62215
116, 11:26,114.59,114.59,114.545,114.52,26262
117, 11:27,114.54,114.54,114.45,114.436,95876
118, 11:28,114.44,114.44,114.41,114.4,17812
119, 11:29,114.4,114.46,114.46,114.39,11283
120, 11:30,114.45,114.525,114.505,114.45,17043
121, 11:31,114.51,114.62,114.55,114.49,16199
122, 11:32,114.55,114.575,114.41,114.41,13749
123, 11:33,114.42,114.495,114.495,114.41,9867
124, 11:34,114.51,114.57,114.51,114.48,26269
125, 11:35,114.5,114.525,114.474,114.47,13546
126, 11:36,114.47,114.48,114.42,114.41,16999
127, 11:37,114.43,114.44,114.415,114.38,13116
128, 11:38,114.419,114.47,114.449,114.41,9038
129, 11:39,114.46,114.48,114.465,114.43,9294
130, 11:40,114.46,114.46,114.45,114.41,9758
131, 11:41,114.45,114.5,114.5,114.44,7262
132, 11:42,114.5,114.54,114.475,114.47,7771
133, 11:43,114.46,114.54,114.525,114.46,8885
134, 11:44,114.52,114.555,114.48,114.48,13818
135, 11:45,114.48,114.51,114.45,114.45,8595
136, 11:46,114.46,114.47,114.38,114.38,13267
137, 11:47,114.39,114.39,114.315,114.3,21038
138, 11:48,114.31,114.39,114.38,114.31,17833
139, 11:49,114.37,114.493,114.48,114.37,15963
140, 11:50,114.48,114.51,114.5,114.43,12568
141, 11:51,114.52,114.57,114.5,114.5,23240
142, 11:52,114.505,114.52,114.47,114.46,18404
143, 11:53,114.47,114.54,114.54,114.46,21592
144, 11:54,114.545,114.57,114.555,114.53,20305
145, 11:55,114.55,114.56,114.476,114.46,11875
146, 11:56,114.48,114.48,114.45,114.42,11030
147, 11:57,114.46,114.55,114.53,114.44,16858
148, 11:58,114.52,114.565,114.55,114.51,7359
149, 11:59,114.56,114.59,114.58,114.56,12232
150, 12:00,114.58,114.58,114.5,114.45,14830
151, 12:01,114.5,114.52,114.5,114.475,8951
152, 12:02,114.48,114.5,114.47,114.47,9015
153, 12:03,114.49,114.51,114.49,114.47,9281
154, 12:04,114.49,114.52,114.51,114.45,12881
155, 12:05,114.49,114.51,114.51,114.46,10997
156, 12:06,114.5,114.56,114.465,114.46,8312
157, 12:07,114.46,114.46,114.45,114.43,5367
158, 12:08,114.44,114.455,114.42,114.396,9484
159, 12:09,114.43,114.45,114.445,114.42,8895
160, 12:10,114.43,114.53,114.48,114.43,12508
161, 12:11,114.488,114.488,114.42,114.4,8815
162, 12:12,114.42,114.42,114.42,114.39,7557
163, 12:13,114.415,114.43,114.39,114.37,8455
164, 12:14,114.39,114.39,114.355,114.34,11603
165, 12:15,114.36,114.48,114.46,114.36,17717
166, 12:16,114.48,114.54,114.52,114.46,6880
167, 12:17,114.51,114.53,114.513,114.49,9316
168, 12:18,114.508,114.6,114.6,114.493,12263
169, 12:19,114.6,114.68,114.605,114.6,8886
170, 12:20,114.605,114.605,114.57,114.54,8821
171, 12:21,114.58,114.58,114.551,114.524,6262
172, 12:22,114.55,114.55,114.493,114.49,5991
173, 12:23,114.48,114.48,114.37,114.37,10133
174, 12:24,114.38,114.395,114.39,114.355,9363
175, 12:25,114.39,114.485,114.47,114.38,9698
176, 12:26,114.465,114.55,114.54,114.465,8785
177, 12:27,114.52,114.52,114.44,114.42,9372
178, 12:28,114.41,114.44,114.44,114.4,7333
179, 12:29,114.44,114.46,114.44,114.39,11419
180, 12:30,114.43,114.46,114.42,114.41,7360
181, 12:31,114.42,114.43,114.377,114.37,5773
182, 12:32,114.37,114.37,114.32,114.31,5437
183, 12:33,114.31,114.35,114.32,114.31,7377
184, 12:34,114.32,114.34,114.325,114.296,10950
185, 12:35,114.33,114.385,114.38,114.315,5976
186, 12:36,114.38,114.42,114.42,114.37,6008
187, 12:37,114.42,114.5,114.47,114.42,17189
188, 12:38,114.47,114.47,114.39,114.39,17000
189, 12:39,114.39,114.39,114.25,114.24,19261
190, 12:40,114.24,114.24,114.16,114.14,27375
191, 12:41,114.14,114.15,114.03,114.02,29758
192, 12:42,114.04,114.08,114.075,114.01,14636
193, 12:43,114.075,114.135,114.12,114.075,11250
194, 12:44,114.12,114.13,114.1,114.08,7492
195, 12:45,114.08,114.09,114.06,114.022,24364
196, 12:46,114.08,114.105,114.1,114.065,8143
197, 12:47,114.1,114.12,114.12,114.09,8538
198, 12:48,114.12,114.13,114.11,114.09,8714
199, 12:49,114.1,114.1,114.085,114.07,8408
